,candidate_name,candidate_party,link,seat_name,state
192,HALL Craig L,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,Mitchell,NSW
193,MURPHY Lawrence,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/mitc/,Mitchell,NSW
194,LEDGER Natasha,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
195,COLLINS Julie,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
196,LANGENBERG Yvonne,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
197,JOYCE Barnaby,The Nationals,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
198,LONERGAN Tony,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
199,BLAKESTER Adam,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
200,TABER Rob,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
201,DUNCAN Cindy Anne,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/neng/,New England,NSW
202,CLAYDON Sharon,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
203,MACKENZIE John,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
204,WISE Pam,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
205,SCULLY Geoffrey,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
206,FUTTER B.J.,The Great Australian Party,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
207,BROLLO Darren,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
208,WARK Katrina,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/newc/,Newcastle,NSW
209,VERNON David,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
210,STONE Brett,Labor,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
211,VAGG Peter John,United Australia Party,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
212,KEOGH Daniel,The Greens,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
213,CHESTERFIELD-EVANS Arthur,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
214,GRAHAM Greg,Sustainable Australia,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
215,ZIMMERMAN Trent,Liberal,https://www.abc.net.au/news/elections/federal/2019/guide/nsyd/,North Sydney,NSW
216,LEVINY Fiona,Independent,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
217,WATERS Alison,Animal Justice Party,https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
218,WALKER Peter,Christian Democratic Party (Fred Nile Group),https://www.abc.net.au/news/elections/federal/2019/guide/page/,Page,NSW
